"Mock_Acc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"AF327585.1","Viridiplantae","Streptophyta","Pinopsida","Pinales","Pinaceae","Picea","Picea_likiangensis"
"DQ353965.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Arctagrostis","Arctagrostis_latifolia"
"KY636015.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops",NA
"MT934551.1","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",NA
"ON468918.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Cynodon","Cynodon_dactylon"
"KT274018.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"AY787812.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Chloris","Chloris_virgata"
"KU163232.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Brachypodium","Brachypodium_distachyon"
"KM524097.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Puccinellia",NA
"DQ172302.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Arundo","Arundo_donax"
"EU792450.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Poa","Poa_kelloggii"
"AY586301.1","Viridiplantae","Streptophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",NA
"CM077328.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum","Triticum_dicoccoides"
"DQ887449.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Nassella",NA
"KM385471.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Avenula","Avenula_pubescens"
"JF901572.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Panicum","Panicum_virgatum"
"MG709453.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Festuca","Festuca_rubra"
"AF519113.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Triticum",NA
"MK750716.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops","Aegilops_biuncialis"
"FJ842618.1","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia",NA
"GQ869954.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Cenchrus","Cenchrus_americanus"
"GQ324396.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"AB445374.1","Viridiplantae","Streptophyta","Magnoliopsida","Saxifragales","Altingiaceae","Liquidambar","Liquidambar_styraciflua"
"MG523999.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Paspalum",NA
"EU013591.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops",NA
"CM032658.1","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Oryza","Oryza_sativa"
